date,avg_block_size,cost_per_tx,dificultad,fees_total_btc,hashrate,market_cap,mempool_size,miners_revenue_usd,n_unique_addresses,precio_btc,total_btc_sent,trade_volume_exchange,transacciones_dia,transacciones_segundo,efficiency_j_th,elec_cost_kwh
2009-01-03,0.0002158532110091,0.0,1.0,0.0,4.97102696e-08,0.0,21995935.986486487,0.0,2.0,0.0,75.0,0.0,109.0,2.322569444444444,800000.0,0.069
2009-01-04,0.0002158532110091,0.0,0.0,0.0,0.0,0.0,21995935.986486487,0.0,2.0,0.0,75.0,0.0,109.0,2.322569444444444,799198.1132075472,0.069
2009-01-05,0.0002158532110091,0.0,0.0,0.0,0.0,0.0,21995935.986486487,0.0,2.0,0.0,75.0,0.0,109.0,2.322569444444444,798396.2264150943,0.069
2009-01-06,0.0002158532110091,0.0,0.0,0.0,0.0,0.0,21995935.986486487,0.0,2.0,0.0,75.0,0.0,109.0,2.322569444444444,797594.3396226416,0.069
2009-01-07,0.0002158532110091,0.0,0.0,0.0,0.0,0.0,21995935.986486487,0.0,2.0,0.0,75.0,0.0,109.0,2.322569444444444,796792.4528301887,0.069
2009-01-08,0.0002158532110091,0.0,0.0,0.0,0.0,0.0,21995935.986486487,0.0,2.0,0.0,75.0,0.0,109.0,2.322569444444444,795990.5660377359,0.069
2009-01-09,0.0002158532110091,0.0,1.0,0.0,6.959437748e-07,0.0,21995935.986486487,0.0,14.0,0.0,475.0,0.0,109.0,2.322569444444444,795188.679245283,0.069
2009-01-10,0.0002158532110091,0.0,1.0,0.0,1.5410183585e-06,0.0,21995935.986486487,0.0,60.0,0.0,2325.0,0.0,109.0,2.322569444444444,794386.7924528302,0.069
2009-01-11,0.0002158532110091,0.0,1.0,0.0,5.2692885807e-06,0.0,21995935.986486487,0.0,93.0,0.0,6150.0,0.0,109.0,2.322569444444444,793584.9056603773,0.069
2009-01-12,0.0002158532110091,0.0,1.0,0.0,4.424213997e-06,0.0,21995935.986486487,0.0,102.0,0.0,10825.0,0.0,109.0,2.322569444444444,792783.0188679246,0.069
2009-01-13,0.0002158532110091,0.0,1.0,0.0,5.7166810074e-06,0.0,21995935.986486487,0.0,123.0,0.0,16250.0,0.0,109.0,2.322569444444444,791981.1320754717,0.069
2009-01-14,0.0002158532110091,0.0,1.0,0.0,6.2634939733e-06,0.0,21995935.986486487,0.0,130.0,0.0,22550.0,0.0,109.0,2.322569444444444,791179.2452830189,0.069
2009-01-15,0.0002158532110091,0.0,1.0,0.0,6.3132042429e-06,0.0,21995935.986486487,0.0,134.0,0.0,28925.0,0.0,109.0,2.322569444444444,790377.358490566,0.069
2009-01-16,0.0002158532110091,0.0,1.0,0.0,5.766391277e-06,0.0,21995935.986486487,0.0,110.0,0.0,34775.0,0.0,109.0,2.322569444444444,789575.4716981133,0.069
2009-01-17,0.0002158532110091,0.0,1.0,0.0,5.36870912e-06,0.0,21995935.986486487,0.0,109.0,0.0,40200.0,0.0,109.0,2.322569444444444,788773.5849056604,0.069
2009-01-18,0.0002199439252336,0.0,1.0,0.0,5.0207372325e-06,0.0,21995935.986486487,0.0,108.0,0.0,45600.0,0.0,108.0,2.322569444444444,787971.6981132076,0.069
2009-01-19,0.0002328956521739,0.0,1.0,0.0,5.9155220859e-06,0.0,21995935.986486487,0.0,117.0,0.0,51150.0,0.0,117.0,2.322569444444444,787169.8113207547,0.069
2009-01-20,0.0002247280701754,0.0,1.0,0.0,5.766391277e-06,0.0,21995935.986486487,0.0,115.0,0.0,56875.0,0.0,115.0,2.322569444444444,786367.9245283019,0.069
2009-01-21,0.0002304563106796,0.0,1.0,0.0,5.6172604681e-06,0.0,21995935.986486487,0.0,105.0,0.0,62300.0,0.0,105.0,2.322569444444444,785566.037735849,0.069
2009-01-22,0.0002157333333333,0.0,1.0,0.0,3.7282702222e-06,0.0,21995935.986486487,0.0,90.0,0.0,67125.0,0.0,90.0,2.322569444444444,784764.1509433963,0.069
2009-01-23,0.000229238095238,0.0,1.0,0.0,3.3305880651e-06,0.0,21995935.986486487,0.0,86.0,0.0,71475.0,0.0,86.0,2.322569444444444,783962.2641509434,0.069
2009-01-24,0.0002220597014925,0.0,1.0,0.0,9.8923436562e-06,0.0,21995935.986486487,0.0,202.0,0.0,78600.0,0.0,202.0,2.322569444444444,783160.3773584906,0.069
2009-01-25,0.000217,0.0,1.0,0.0,9.6437923081e-06,0.0,21995935.986486487,0.0,192.0,0.0,88400.0,0.0,192.0,2.322569444444444,782358.4905660377,0.069
2009-01-26,0.0002399479166666,0.0,1.0,0.0,5.766391277e-06,0.0,21995935.986486487,0.0,97.0,0.0,95575.0,0.0,97.0,2.322569444444444,781556.6037735849,0.069
2009-01-27,0.0002203092783505,0.0,1.0,0.0,5.1201577718e-06,0.0,21995935.986486487,0.0,98.0,0.0,100400.0,0.0,98.0,2.322569444444444,780754.716981132,0.069
2009-01-28,0.0002156517857142,0.0,1.0,0.0,5.1201577718e-06,0.0,21995935.986486487,0.0,112.0,0.0,105625.0,0.0,112.0,2.322569444444444,779952.8301886793,0.069
2009-01-29,0.0002272561983471,0.0,1.0,0.0,6.0646528948e-06,0.0,21995935.986486487,0.0,122.0,0.0,111450.0,0.0,122.0,2.322569444444444,779150.9433962264,0.069
2009-01-30,0.0002158717948717,0.0,1.0,0.0,6.0149426251e-06,0.0,21995935.986486487,0.0,117.0,0.0,117421.55172413793,0.0,117.0,2.322569444444444,778349.0566037736,0.069
2009-01-31,0.0002324637681159,0.0,1.0,0.0,6.4126247822e-06,0.0,21995935.986486487,0.0,139.0,0.0,123761.31386861314,0.0,139.0,2.322569444444444,777547.1698113207,0.069
2009-02-01,0.000218203539823,0.0,1.0,0.0,5.766391277e-06,0.0,21995935.986486487,0.0,114.0,0.0,130050.0,0.0,114.0,2.322569444444444,776745.283018868,0.0681
2009-02-02,0.00021709375,0.0,1.0,0.0,6.3132042429e-06,0.0,21995935.986486487,0.0,129.0,0.0,136075.0,0.0,129.0,2.322569444444444,775943.3962264151,0.0681
2009-02-03,0.0002484964028776,0.0,1.0,2.01,6.7605966696e-06,0.0,21995935.986486487,0.0,153.0,0.0,142750.0,0.0,155.0,2.322569444444444,775141.5094339623,0.0681
2009-02-04,0.0002157394957983,0.0,1.0,0.0,6.1143631644e-06,0.0,21995935.986486487,0.0,119.0,0.0,149200.0,0.0,119.0,2.322569444444444,774339.6226415094,0.0681
2009-02-05,0.0002157222222222,0.0,1.0,0.0,6.0149426251e-06,0.0,21995935.986486487,0.0,126.0,0.0,155325.0,0.0,126.0,2.322569444444444,773537.7358490566,0.0681
2009-02-06,0.0002158360655737,0.0,1.0,0.0,6.4126247822e-06,0.0,21995935.986486487,0.0,122.0,0.0,161525.0,0.0,122.0,2.322569444444444,772735.8490566037,0.0681
2009-02-07,0.0002403100775193,0.0,1.0,0.0,6.2634939733e-06,0.0,21995935.986486487,0.0,134.0,0.0,167800.0,0.0,133.0,2.322569444444444,771933.962264151,0.0681
2009-02-08,0.0002175757575757,0.0,1.0,0.0,6.6611761303e-06,0.0,21995935.986486487,0.0,133.0,0.0,174325.0,0.0,133.0,2.322569444444444,771132.0754716981,0.0681
2009-02-09,0.0002536044776119,0.0,1.0,0.0,6.3629145125e-06,0.0,21995935.986486487,0.0,135.0,0.0,180975.0,0.0,135.0,2.322569444444444,770330.1886792453,0.0681
2009-02-10,0.0002156666666666,0.0,1.0,0.0,6.3132042429e-06,0.0,21995935.986486487,0.0,120.0,0.0,187325.0,0.0,120.0,2.322569444444444,769528.3018867924,0.0681
2009-02-11,0.0002291278195488,0.0,1.0,0.0,6.5120453214e-06,0.0,21995935.986486487,0.0,135.0,0.0,193650.0,0.0,135.0,2.322569444444444,768726.4150943396,0.0681
2009-02-12,0.0002158739495798,0.0,1.0,0.0,5.8658118162e-06,0.0,21995935.986486487,0.0,119.0,0.0,199950.0,0.0,119.0,2.322569444444444,767924.5283018867,0.0681
2009-02-13,0.0002159032258064,0.0,1.0,0.0,6.164073434e-06,0.0,21995935.986486487,0.0,119.0,0.0,206035.7723577236,0.0,124.0,2.322569444444444,767122.641509434,0.0681
2009-02-14,0.0002157867647058,0.0,1.0,0.0,7.0091480177e-06,0.0,21995935.986486487,0.0,136.0,0.0,212525.0,0.0,136.0,2.322569444444444,766320.7547169811,0.0681
2009-02-15,0.0002293828125,0.0,1.0,0.0,6.0646528948e-06,0.0,21995935.986486487,0.0,131.0,0.0,219125.0,0.0,131.0,2.322569444444444,765518.8679245283,0.0681
2009-02-16,0.0002441721311475,0.0,1.0,0.0,6.1143631644e-06,0.0,21995935.986486487,0.0,123.0,0.0,225375.0,0.0,123.0,2.322569444444444,764716.9811320754,0.0681
2009-02-17,0.0002158974358974,0.0,1.0,0.0,5.8658118162e-06,0.0,21995935.986486487,0.0,117.0,0.0,231350.0,0.0,117.0,2.322569444444444,763915.0943396227,0.0681
2009-02-18,0.0002159406779661,0.0,1.0,0.0,6.164073434e-06,0.0,21995935.986486487,0.0,118.0,0.0,237225.0,0.0,118.0,2.322569444444444,763113.2075471698,0.0681
2009-02-19,0.0002310483870967,0.0,1.0,0.0,5.8161015466e-06,0.0,21995935.986486487,0.0,125.0,0.0,243275.0,0.0,125.0,2.322569444444444,762311.320754717,0.0681
2009-02-20,0.0002158524590163,0.0,1.0,0.0,6.3629145125e-06,0.0,21995935.986486487,0.0,122.0,0.0,249425.0,0.0,122.0,2.322569444444444,761509.4339622641,0.0681
2009-02-21,0.0002159649122807,0.0,1.0,0.0,5.4681296592e-06,0.0,21995935.986486487,0.0,114.0,0.0,255325.0,0.0,114.0,2.322569444444444,760707.5471698113,0.0681
2009-02-22,0.0002285454545454,0.0,1.0,0.0,6.0149426251e-06,0.0,21995935.986486487,0.0,125.0,0.0,261200.0,0.0,125.0,2.322569444444444,759905.6603773586,0.0681
2009-02-23,0.0002159907407407,0.0,1.0,0.0,5.3189988503e-06,0.0,21995935.986486487,0.0,108.0,0.0,266925.0,0.0,108.0,2.322569444444444,759103.7735849057,0.0681
2009-02-24,0.0002159339622641,0.0,1.0,0.0,5.5178399288e-06,0.0,21995935.986486487,0.0,106.0,0.0,272275.0,0.0,106.0,2.322569444444444,758301.8867924528,0.0681
2009-02-25,0.0002158666666666,0.0,1.0,0.0,5.3189988503e-06,0.0,21995935.986486487,0.0,105.0,0.0,277550.0,0.0,105.0,2.322569444444444,757500.0,0.0681
2009-02-26,0.0002159626168224,0.0,1.0,0.0,4.7721858844e-06,0.0,21995935.986486487,0.0,107.0,0.0,282850.0,0.0,107.0,2.322569444444444,756698.1132075472,0.0681
2009-02-27,0.0002518,0.0,1.0,0.0,6.1143631644e-06,0.0,21995935.986486487,0.0,116.0,0.0,288400.0,0.0,116.0,2.322569444444444,755896.2264150943,0.0681
2009-02-28,0.0002245252525252,0.0,1.0,0.0,5.0704475022e-06,0.0,21995935.986486487,0.0,100.0,0.0,293750.0,0.0,100.0,2.322569444444444,755094.3396226416,0.0681
2009-03-01,0.0002159523809523,0.0,1.0,0.0,5.2692885807e-06,0.0,21995935.986486487,0.0,105.0,0.0,298850.0,0.0,105.0,2.322569444444444,754292.4528301887,0.0675
2009-03-02,0.0002159629629629,0.0,1.0,0.0,5.1698680414e-06,0.0,21995935.986486487,0.0,108.0,0.0,304175.0,0.0,108.0,2.322569444444444,753490.5660377359,0.0675
2009-03-03,0.0002254285714285,0.0,1.0,0.0,5.2692885807e-06,0.0,21995935.986486487,0.0,106.0,0.0,309500.0,0.0,107.0,2.322569444444444,752688.679245283,0.0675
2009-03-04,0.0002447115384615,0.0,1.0,0.0,5.2692885807e-06,0.0,21995935.986486487,0.0,106.0,0.0,314714.5631067961,0.0,106.0,2.322569444444444,751886.7924528302,0.0675
2009-03-05,0.0002244107142857,0.0,1.0,0.0,5.2692885807e-06,0.0,21995935.986486487,0.0,113.0,0.0,320112.84403669724,0.0,113.0,2.322569444444444,751084.9056603773,0.0675
2009-03-06,0.000215923076923,0.0,1.0,0.0,5.8658118162e-06,0.0,21995935.986486487,0.0,117.0,0.0,325857.39130434784,0.0,117.0,2.322569444444444,750283.0188679246,0.0675
2009-03-07,0.0002159724770642,0.0,1.0,0.0,5.5178399288e-06,0.0,21995935.986486487,0.0,109.0,0.0,331521.75925925927,0.0,109.0,2.322569444444444,749481.1320754717,0.0675
2009-03-08,0.0002435913043478,0.0,1.0,0.0,5.5675501985e-06,0.0,21995935.986486487,0.0,118.0,0.0,337100.0,0.0,118.0,2.322569444444444,748679.2452830189,0.0675
2009-03-09,0.0002157129629629,0.0,1.0,0.0,5.6172604681e-06,0.0,21995935.986486487,0.0,108.0,0.0,342654.54545454547,0.0,108.0,2.322569444444444,747877.358490566,0.0675
2009-03-10,0.0002159719626168,0.0,1.0,0.0,5.2195783111e-06,0.0,21995935.986486487,0.0,107.0,0.0,348050.0,0.0,107.0,2.322569444444444,747075.4716981133,0.0675
2009-03-11,0.0002158859649122,0.0,1.0,0.0,5.36870912e-06,0.0,21995935.986486487,0.0,114.0,0.0,353575.0,0.0,114.0,2.322569444444444,746273.5849056604,0.0675
2009-03-12,0.000219533898305,0.0,1.0,0.0,5.8658118162e-06,0.0,21995935.986486487,0.0,119.0,0.0,359375.0,0.0,119.0,2.322569444444444,745471.6981132076,0.0675
2009-03-13,0.0002293893805309,0.0,1.0,0.0,5.6669707377e-06,0.0,21995935.986486487,0.0,119.0,0.0,365135.71428571426,0.0,114.0,2.322569444444444,744669.8113207547,0.0675
2009-03-14,0.0002157909090909,0.0,1.0,0.0,5.766391277e-06,0.0,21995935.986486487,0.0,110.0,0.0,370706.42201834865,0.0,110.0,2.322569444444444,743867.9245283019,0.0675
2009-03-15,0.0002159674796747,0.0,1.0,0.0,5.5178399288e-06,0.0,21995935.986486487,0.0,123.0,0.0,376550.0,0.0,123.0,2.322569444444444,743066.037735849,0.0675
2009-03-16,0.0002615123966942,0.0,1.0,0.0,6.4623350518e-06,0.0,21995935.986486487,0.0,122.0,0.0,382658.3333333333,0.0,122.0,2.322569444444444,742264.1509433963,0.0675
2009-03-17,0.0002159649122807,0.0,1.0,0.0,5.7166810074e-06,0.0,21995935.986486487,0.0,114.0,0.0,388525.0,0.0,114.0,2.322569444444444,741462.2641509434,0.0675
2009-03-18,0.0002307105263157,0.0,1.0,0.0,5.4681296592e-06,0.0,21995935.986486487,0.0,115.0,0.0,394225.0,0.0,116.0,2.322569444444444,740660.3773584906,0.0675
2009-03-19,0.0002157868852459,0.0,1.0,0.0,6.0646528948e-06,0.0,21995935.986486487,0.0,122.0,0.0,400110.8333333333,0.0,122.0,2.322569444444444,739858.4905660377,0.0675
2009-03-20,0.0002278559322033,0.0,1.0,0.0,5.8658118162e-06,0.0,21995935.986486487,0.0,119.0,0.0,406125.0,0.0,119.0,2.322569444444444,739056.6037735849,0.0675
2009-03-21,0.000215862745098,0.0,1.0,0.0,3.8276907614e-06,0.0,21995935.986486487,0.0,51.0,0.0,410350.0,0.0,51.0,2.322569444444444,738254.716981132,0.0675
2009-03-22,0.0002272288135593,0.0,1.0,0.0,4.7224756148e-06,0.0,21995935.986486487,0.0,119.0,0.0,414582.60869565216,0.0,120.0,2.322569444444444,737452.8301886793,0.0675
2009-03-23,0.000215923076923,0.0,1.0,0.0,6.5617555911e-06,0.0,21995935.986486487,0.0,130.0,0.0,420820.3125,0.0,130.0,2.322569444444444,736650.9433962264,0.0675
2009-03-24,0.0002159809523809,0.0,1.0,0.0,5.2195783111e-06,0.0,21995935.986486487,0.0,105.0,0.0,426650.0,0.0,105.0,2.322569444444444,735849.0566037736,0.0675
2009-03-25,0.0002157863247863,0.0,1.0,0.0,5.766391277e-06,0.0,21995935.986486487,0.0,117.0,0.0,432207.7586206897,0.0,117.0,2.322569444444444,735047.1698113207,0.0675
2009-03-26,0.0002436068376068,0.0,1.0,0.0,5.6172604681e-06,0.0,21995935.986486487,0.0,118.0,0.0,438050.0,0.0,118.0,2.322569444444444,734245.283018868,0.0675
