date,price_usd,hashrate_th_s,difficulty,transactions_count,miners_revenue_usd,electricity_price_usd_kwh,efficiency_j_th,miners_revenue_btc
2023-07-30,29359.89,437010756.32545,52328312063444.0,645854.0,31692642.533020645,0.08900000000000001,17.5,1079.4537218300425
2023-07-31,29274.94,366776884.7731455,52328312063444.0,445666.0,27510234.359162603,0.08900000000000001,17.5,939.7195812924845
2023-08-01,29228.49,361574375.7692712,52328312063444.0,412219.0,26122899.546493188,0.0843,17.5,893.7478311911832
2023-08-02,29683.61,400593193.2983291,52328312063444.0,390768.0,29363951.078214865,0.0843,17.5,989.2311305200029
2023-08-03,29152.45,392789429.7925176,52328312063444.0,476007.0,28247538.053915504,0.0843,17.5,968.9593174472644
2023-08-04,29183.41,314751794.7344015,52328312063444.0,318486.0,23104041.16684485,0.0843,17.5,791.6840823894414
2023-08-05,29075.0,400593193.2983291,52328312063444.0,500723.0,28591503.046726555,0.0843,17.5,983.3706980817387
2023-08-06,29048.01,426605738.3177011,52328312063444.0,607275.0,30288540.36209772,0.0843,17.5,1042.7062081739066
2023-08-07,29041.01,379783157.2828315,52328312063444.0,427534.0,27209670.747621182,0.0843,17.5,936.9395467864645
2023-08-08,29181.71,325156812.74215025,52328312063444.0,331194.0,23875114.96975787,0.0843,17.5,818.1533902488193
2023-08-09,29768.29,421650114.697692,52358969387622.18,506746.0,30918658.40601437,0.0843,17.5,1038.644087584956
2023-08-10,29565.82,330756213.4390739,52391178981379.0,358039.0,24172398.41337492,0.0843,17.5,817.5791645005929
2023-08-11,29433.98,393261324.6401588,52391178981379.0,506538.0,28454990.93611478,0.0843,17.5,966.7394941531787
2023-08-12,29399.18,434931398.7742153,52391178981379.0,503934.0,31294824.65651836,0.0843,17.5,1064.4795078134273
2023-08-13,29412.84,351591250.5061022,52391178981379.0,497112.0,25585662.89478492,0.0843,17.5,869.8807355829944
2023-08-14,29283.84,445348917.3077294,52391178981379.0,568517.0,32337872.752744462,0.0843,17.5,1104.290719821733
2023-08-15,29413.8,445348917.3077294,52391178981379.0,583063.0,31915144.915740907,0.0843,17.5,1085.0398423780982
