date,avg_block_size,cost_per_tx,dificultad,dificultad_btc,fees_total_btc,hashrate,hashrate_btc,ingresos_mineros_btc,market_cap,mempool_size,miners_revenue_usd,n_unique_addresses,precio_btc,total_btc_sent,trade_volume_exchange,transacciones_btc,transacciones_dia,transacciones_segundo,efficiency_j_th,elec_cost_kwh,attack_hourly_cost_usd
2015-01-11,0.333321896774193,12.2117168229796,40640955016.5765,40640955016.5765,13.53639408,296980.106286311,296980.106286311,1225262.60743366,3784175104.3189654,21995935.986486487,1225262.60743366,211904.0,275.97,13712269.827586208,8115245.5722,90630.0,90630.0,2.322569444444444,466.13168724279836,0.0688,9524.110455829921
2015-01-12,0.38842090140845,10.4550002839298,43971662056.0896,43971662056.0896,32.94802367,358478.281006871,358478.281006871,1092944.81968145,3698935659.776119,21995935.986486487,1092944.81968145,186352.0,269.68,13716017.723880596,2994281.3112,98969.0,98969.0,2.322569444444444,465.0617283950617,0.0688,11469.95959225165
2015-01-13,0.473648669291339,8.5653447687795,43971662056.0896,43971662056.0896,15.50901423,229513.533571473,229513.533571473,1026145.43398932,3663331365.7777777,21995935.986486487,1026145.43398932,213182.0,267.02,13719314.52991453,3244851.0718,102309.0,102309.0,2.322569444444444,463.99176954732513,0.0688,7326.676471689838
2015-01-14,0.420506703448276,8.11985413138177,43971662056.0896,43971662056.0896,15.22479663,330062.319707546,330062.319707546,930527.16360222,3046447910.0,21995935.986486487,930527.16360222,217076.0,222.0,13722738.333333334,13066868.94,104765.0,104765.0,2.322569444444444,462.9218106995885,0.0688,10512.161611771387
2015-01-15,0.422705543046358,5.64871094289005,43971662056.0896,43971662056.0896,17.25104955,303832.201585092,303832.201585092,729864.29221988,2360943446.1538463,21995935.986486487,729864.29221988,229796.0,172.0,13726415.384615384,21350194.88,120390.0,120390.0,2.322569444444444,461.85185185185185,0.0688,9654.391988855834
2015-01-16,0.394174762589928,7.45566649361264,43971662056.0896,43971662056.0896,14.59406088,325690.633353804,325690.633353804,954891.941835932,2886195450.138,21995935.986486487,954891.941835932,209325.0,210.21,13730057.8,17610691.6986,104699.0,104699.0,2.322569444444444,460.7818930041152,0.0688,10324.977444048684
2015-01-17,0.39107586231884,8.12544179843677,43971662056.0896,43971662056.0896,13.34222178,299460.51523135,299460.51523135,762548.336457896,2858361664.6679106,21995935.986486487,762548.336457896,250389.0,208.13,13733539.925373135,7250849.5904,90499.0,90499.0,2.322569444444444,459.7119341563786,0.0688,9471.391399040307
2015-01-18,0.320820019607843,8.94311018296982,43971662056.0896,43971662056.0896,13.877202,325690.633353804,325690.633353804,887192.302591338,2744282120.391608,21995935.986486487,887192.302591338,214984.0,199.77,13737208.391608391,3806239.7847,83186.0,83186.0,2.322569444444444,458.641975308642,0.0688,10277.0272049587
2015-01-19,0.402776020833333,8.2115263857092,43971662056.0896,43971662056.0896,14.34755742,338805.692415031,338805.692415031,904302.554752611,2912801803.4204545,21995935.986486487,904302.554752611,207358.0,211.98,13740927.462121213,3876162.4098,98485.0,98485.0,2.322569444444444,457.57201646090533,0.0688,10665.926666034396
2015-01-20,0.450219025423729,6.62223454026974,43971662056.0896,43971662056.0896,14.37349806,262301.18122454,262301.18122454,672812.407056865,2968874123.252174,21995935.986486487,672812.407056865,191743.0,216.01,13744151.304347826,2815608.2662,98925.0,98925.0,2.322569444444444,456.50205761316874,0.0688,8238.182791303661
2015-01-21,0.354153308724832,8.30124603537023,43971662056.0896,43971662056.0896,13.40029971,299460.51523135,299460.51523135,925107.460673729,2896733456.4069343,21995935.986486487,925107.460673729,189969.0,210.71,13747489.233576642,2960184.7202,96959.0,96959.0,2.322569444444444,455.4320987654321,0.0688,9383.214449304365
2015-01-22,0.396514237037037,8.61969445356526,43971662056.0896,43971662056.0896,13.40410002,327876.476530675,327876.476530675,907343.516960094,3088364031.743952,21995935.986486487,907343.516960094,186251.0,224.59,13751119.959677419,0.0,93698.0,93698.0,2.322569444444444,454.36213991769546,0.0688,10249.456436354427
2015-01-23,0.390417387096774,8.54045506689672,43971662056.0896,43971662056.0896,13.68235392,271044.553932025,271044.553932025,855770.678613185,3211756965.8333335,21995935.986486487,855770.678613185,178774.0,233.51,13754258.771929825,5933243.9145,92011.0,92011.0,2.322569444444444,453.2921810699589,0.0688,8452.931538905941
